timestamps,open,high,low,close,volume,amount
2025-01-02,11.13,11.17,10.79,10.83,1819597,2102923078.11
2025-01-03,10.84,10.94,10.76,10.78,1154680,1320520977.59
2025-01-06,10.78,10.88,10.62,10.84,1085536,1234305778.04
2025-01-07,10.82,10.93,10.77,10.91,747863,858329048.54
2025-01-08,10.9,11.03,10.8,10.9,1062386,1223598996.56
2025-01-09,10.9,10.9,10.75,10.8,751483,857836086.08
2025-01-10,10.8,10.86,10.68,10.7,798134,905005040.97
2025-01-13,10.65,10.66,10.48,10.6,934966,1044904415.84
2025-01-14,10.6,10.8,10.59,10.78,824629,934467766.39
2025-01-15,10.78,10.98,10.76,10.88,1031631,1185403653.43
2025-01-16,10.95,10.99,10.87,10.97,872964,1007689273.66
2025-01-17,10.93,10.95,10.82,10.85,689765,791230418.64
2025-01-20,10.9,10.92,10.8,10.82,832029,953092179.17
2025-01-21,10.85,10.85,10.72,10.73,902069,1024879174.22
2025-01-22,10.72,10.73,10.48,10.49,1347129,1504818607.18
2025-01-23,10.57,10.8,10.57,10.72,1514920,1715172472.47
2025-01-24,10.72,10.79,10.62,10.74,944944,1069899088.28
2025-01-27,10.78,10.95,10.78,10.87,1151935,1324270606.55
2025-02-05,10.9,10.92,10.73,10.77,843434,961193578.9
2025-02-06,10.75,10.85,10.7,10.76,955603,1084793176.26
2025-02-07,10.76,10.85,10.71,10.78,1407493,1601621979.76
2025-02-10,10.78,10.9,10.76,10.83,1026591,1174044624.14
2025-02-11,10.8,10.87,10.77,10.82,844520,963865614.95
2025-02-12,10.81,10.83,10.74,10.82,988807,1125323632.69
2025-02-13,10.82,10.95,10.8,10.9,1358639,1560709510.83
2025-02-14,10.89,10.95,10.83,10.95,973058,1118355996.56
2025-02-17,11.0,11.2,10.95,11.18,2061965,2413146066.57
2025-02-18,11.16,11.36,11.16,11.21,1996610,2371071466.89
2025-02-19,11.2,11.21,11.08,11.11,1177749,1382467174.27
2025-02-20,11.11,11.16,11.05,11.06,784396,917231443.37
2025-02-21,11.09,11.11,10.95,11.04,973969,1131033823.93
2025-02-24,11.03,11.09,10.96,10.99,949956,1103548964.32
2025-02-25,10.96,10.98,10.86,10.87,917156,1055685157.06
2025-02-26,10.87,11.0,10.87,10.92,841646,970641211.48
2025-02-27,10.93,11.03,10.86,11.02,977310,1130386662.02
2025-02-28,10.98,11.08,10.9,10.93,949088,1100335054.08
2025-03-03,10.92,10.96,10.85,10.91,830457,955266366.31
2025-03-04,10.87,10.95,10.84,10.91,683179,785447989.45
2025-03-05,10.92,11.07,10.88,11.06,1080645,1254892073.93
2025-03-06,11.09,11.1,11.0,11.03,877408,1021780609.28
2025-03-07,11.03,11.09,11.0,11.07,835537,973236689.8
2025-03-10,11.06,11.07,10.95,10.99,663834,769261385.33
2025-03-11,10.94,11.01,10.92,11.01,608975,704240463.95
2025-03-12,11.0,11.27,10.96,11.25,1877318,2210904482.32
2025-03-13,11.21,11.31,11.18,11.24,1312371,1555123173.93
2025-03-14,11.22,11.4,11.22,11.37,1722418,2057970454.4
2025-03-17,11.03,11.07,10.86,10.9,4603612,5315522816.99
2025-03-18,10.92,10.94,10.88,10.89,1605290,1846500421.28
2025-03-19,10.88,10.93,10.86,10.92,1362455,1566452160.69
2025-03-20,10.91,11.01,10.89,10.89,1101157,1268849139.57
2025-03-21,10.89,10.92,10.79,10.82,1376389,1576151833.21
2025-03-24,10.81,10.84,10.74,10.78,1164577,1325564001.84
2025-03-25,10.78,10.83,10.76,10.83,735609,839142044.46
2025-03-26,10.82,10.83,10.77,10.78,740863,843536936.19
2025-03-27,10.77,10.81,10.75,10.79,553349,629863382.77
2025-03-28,10.79,10.8,10.74,10.75,644946,732420873.55
2025-03-31,10.76,10.78,10.66,10.66,1116126,1262598263.31
2025-04-01,10.67,10.7,10.62,10.67,681470,767424131.4
2025-04-02,10.65,10.81,10.65,10.77,932642,1058747240.7
2025-04-03,10.71,10.79,10.7,10.74,643914,730375807.93
2025-04-07,10.4,10.45,9.88,10.1,2545560,2751055412.06
2025-04-08,10.08,10.25,10.06,10.22,1463988,1576590039.86
2025-04-09,10.13,10.23,10.06,10.2,1064394,1145238957.67
2025-04-10,10.26,10.33,10.22,10.3,866548,943352301.94
2025-04-11,10.27,10.3,10.23,10.29,583879,634311779.86
2025-04-14,10.35,10.44,10.32,10.33,785993,862557143.66
2025-04-15,10.32,10.37,10.3,10.35,722754,790139077.1
2025-04-16,10.33,10.41,10.31,10.4,842822,923316062.54
2025-04-17,10.35,10.48,10.33,10.46,823919,907597513.1
2025-04-18,10.44,10.59,10.43,10.58,727098,810031605.1
2025-04-21,10.4,10.53,10.37,10.42,1114184,1230804536.03
2025-04-22,10.42,10.46,10.38,10.44,831129,915967678.28
2025-04-23,10.44,10.45,10.37,10.41,586383,645842400.13
2025-04-24,10.4,10.46,10.39,10.43,689256,760348555.36
2025-04-25,10.44,10.45,10.39,10.41,637547,702315255.47
2025-04-28,10.4,10.44,10.36,10.4,642018,706520175.92
2025-04-29,10.4,10.42,10.35,10.38,649045,712792543.41
2025-04-30,10.36,10.37,10.29,10.31,869835,949911030.4
2025-05-06,10.32,10.4,10.29,10.36,854671,935212114.49
2025-05-07,10.41,10.44,10.37,10.43,1126270,1240098147.39
2025-05-08,10.4,10.48,10.39,10.48,1056614,1167913497.88
2025-05-09,10.47,10.57,10.46,10.55,999897,1113688152.8
2025-05-12,10.56,10.62,10.53,10.56,895605,1000478411.18
2025-05-13,10.59,10.73,10.55,10.69,1261031,1420501315.06
2025-05-14,10.69,10.87,10.65,10.83,1683514,1912995432.64
2025-05-15,10.83,10.9,10.78,10.79,1035460,1183732832.12
2025-05-16,10.77,10.83,10.71,10.78,914744,1039223622.85
2025-05-19,10.8,10.87,10.76,10.77,831391,949883545.33
2025-05-20,10.8,10.87,10.77,10.79,643635,734455265.82
2025-05-21,10.8,10.99,10.79,10.88,1328278,1528350367.92
2025-05-22,10.85,10.96,10.84,10.95,1002968,1155265063.51
2025-05-23,10.95,11.0,10.83,10.86,962643,1108636100.57
2025-05-26,10.84,10.9,10.8,10.82,699159,800495684.57
2025-05-27,10.85,10.94,10.82,10.89,801915,921912281.33
2025-05-28,10.9,10.95,10.84,10.93,658179,757571318.99
2025-05-29,10.92,10.95,10.85,10.86,919807,1056726384.22
2025-05-30,10.87,10.98,10.84,10.96,1130849,1303433716.38
2025-06-03,10.94,11.31,10.93,11.21,2192480,2580962600.64
2025-06-04,11.22,11.28,11.18,11.24,1167960,1383019682.25
2025-06-05,11.28,11.31,11.06,11.07,1166803,1369212336.43
2025-06-06,11.1,11.19,11.08,11.1,682353,799900023.53
2025-06-09,11.13,11.15,11.05,11.11,773255,905092604.93
2025-06-10,11.12,11.29,11.11,11.21,1428132,1689018780.13
2025-06-11,11.22,11.33,11.19,11.25,1094667,1298656315.35
2025-06-12,11.32,11.46,11.28,11.44,1290220,1500287176.22
2025-06-13,11.44,11.5,11.32,11.34,1095494,1272773100.57
2025-06-16,11.33,11.55,11.29,11.55,1174438,1371041708.41
2025-06-17,11.55,11.64,11.47,11.52,890027,1048960748.8
2025-06-18,11.54,11.57,11.42,11.53,683521,802908097.73
2025-06-19,11.52,11.54,11.41,11.46,832247,974127330.84
2025-06-20,11.46,11.62,11.43,11.6,1309198,1544541881.0
2025-06-23,11.57,11.73,11.43,11.69,1389170,1646476917.07
2025-06-24,11.66,11.77,11.6,11.69,1308525,1560621893.02
2025-06-25,11.69,11.84,11.59,11.82,1675116,2007989726.91
2025-06-26,11.81,12.24,11.77,12.17,2174578,2672207528.88
2025-06-27,12.13,12.34,11.89,11.96,2377600,2937865058.47
2025-06-30,11.9,11.93,11.72,11.83,1504820,1812492376.93
2025-07-01,11.82,12.09,11.82,12.06,1354341,1653806750.47
2025-07-02,12.07,12.17,11.99,12.08,1200412,1481842212.5
2025-07-03,12.09,12.18,12.04,12.11,794086,980546007.28
2025-07-04,12.11,12.48,12.06,12.36,1775333,2224874055.62
2025-07-07,12.36,12.58,12.36,12.54,1495407,1901755851.27
2025-07-08,12.51,12.6,12.41,12.45,1090986,1387093602.06
2025-07-09,12.42,12.66,12.42,12.6,1205963,1542699034.65
2025-07-10,12.58,13.09,12.55,12.94,2481416,3249454028.73
2025-07-11,12.95,13.06,12.65,12.67,2443744,3200219566.16
2025-07-14,12.63,12.93,12.62,12.74,1872896,2440924105.22
2025-07-15,12.75,12.8,12.47,12.49,1810531,2322277284.93
2025-07-16,12.49,12.52,12.26,12.4,1927864,2424983973.27
2025-07-17,12.37,12.46,12.3,12.35,944641,1189666226.65
2025-07-18,12.38,12.51,12.36,12.46,1241206,1574176824.24
2025-07-21,12.4,12.47,12.31,12.37,1079027,1360155718.72
2025-07-22,12.36,12.36,12.08,12.25,1935229,2408337285.96
2025-07-23,12.22,12.39,12.21,12.29,1370520,1719158802.83
2025-07-24,12.29,12.29,12.09,12.11,1959351,2426175235.74
2025-07-25,12.09,12.22,12.08,12.11,1108267,1372103731.0
2025-07-28,12.11,12.29,12.08,12.22,1238243,1541317046.96
2025-07-29,12.22,12.27,12.1,12.1,1012818,1255113972.39
2025-07-30,12.11,12.4,12.1,12.25,1715164,2149934404.53
2025-07-31,12.27,12.31,11.98,11.99,1690081,2079630602.38
2025-08-01,12.0,12.09,11.91,12.04,1012187,1240239179.62
2025-08-04,12.0,12.14,11.97,12.06,1032690,1271376406.58
2025-08-05,12.06,12.26,12.04,12.23,1132078,1405152349.43
2025-08-06,12.23,12.28,12.16,12.22,690448,859684675.49
2025-08-07,12.2,12.29,12.15,12.23,722053,900760012.96
2025-08-08,12.24,12.29,12.15,12.16,829796,1032586758.9
2025-08-11,12.16,12.18,12.03,12.06,934353,1150305112.61
2025-08-12,12.06,12.16,12.06,12.09,680056,839635630.05
2025-08-13,12.13,12.16,11.99,12.02,1119813,1376777908.92
2025-08-14,12.03,12.1,11.95,11.96,1241041,1523447931.74
2025-08-15,11.99,11.99,11.7,11.84,1948503,2344073499.27
2025-08-18,11.82,11.91,11.79,11.84,1239058,1496527038.59
2025-08-19,11.86,11.88,11.78,11.82,892860,1077380172.82
2025-08-20,11.82,11.88,11.74,11.83,1048739,1265435773.22
2025-08-21,11.81,11.95,11.79,11.91,1217418,1477053291.9
2025-08-22,11.91,11.93,11.74,11.82,1644260,1979461310.91
2025-08-25,11.88,12.29,11.86,12.21,3045088,3761289075.87
2025-08-26,12.21,12.26,12.06,12.12,1383599,1709560922.86
2025-08-27,12.08,12.12,11.81,11.82,1860050,2268070720.55
2025-08-28,11.85,11.9,11.73,11.84,1653588,1991723373.76
2025-08-29,11.81,11.98,11.79,11.81,1805126,2186232853.05
2025-09-01,11.81,11.81,11.61,11.65,1858459,2214306331.71
2025-09-02,11.61,11.75,11.6,11.74,1492716,1780010208.88
2025-09-03,11.74,11.77,11.5,11.51,1367232,1619322977.46
2025-09-04,11.52,11.53,11.36,11.5,1295300,1513956779.44
2025-09-05,11.49,11.5,11.39,11.48,819662,957547462.67
2025-09-08,11.47,11.54,11.43,11.46,924431,1083054608.28
2025-09-09,11.47,11.54,11.44,11.51,860539,1009279728.78
2025-09-10,11.5,11.55,11.47,11.53,792668,932170200.65
2025-09-11,11.53,11.61,11.47,11.61,963932,1134234366.9
2025-09-12,11.59,11.64,11.46,11.48,940385,1107449056.76
2025-09-15,11.46,11.48,11.39,11.41,840387,980347616.84
2025-09-16,11.42,11.47,11.37,11.4,708048,825169463.93
2025-09-17,11.4,11.43,11.34,11.4,771129,896750270.44
2025-09-18,11.41,11.42,11.14,11.17,1386160,1594827200.16
2025-09-19,11.17,11.27,11.13,11.21,834651,955004096.91
2025-09-22,11.2,11.23,11.13,11.14,596402,680158438.95
2025-09-23,11.13,11.34,11.08,11.28,1341430,1543271184.51
2025-09-24,11.27,11.38,11.19,11.22,1139583,1310214181.06
2025-09-25,11.19,11.23,11.12,11.16,773276,881943147.97
2025-09-26,11.15,11.2,11.08,11.16,753239,856917687.88
2025-09-29,11.16,11.24,11.03,11.13,1176012,1334456973.74
2025-09-30,11.13,11.13,11.05,11.1,832479,942224081.28
2025-10-09,11.09,11.17,11.03,11.16,1047469,1187061682.96
2025-10-10,11.13,11.25,11.12,11.19,1087948,1244213512.59
2025-10-13,11.08,11.22,11.04,11.16,1168802,1328180363.51
2025-10-14,11.15,11.36,11.12,11.33,1843428,2124120304.48
2025-10-15,11.34,11.42,11.26,11.4,1271061,1443458104.69
2025-10-16,11.38,11.55,11.36,11.54,1261937,1447841584.81
2025-10-17,11.5,11.58,11.38,11.4,1039666,1193518554.56
2025-10-20,11.41,11.45,11.27,11.42,952641,1081829699.98
2025-10-21,11.4,11.47,11.39,11.43,761165,869658079.64
2025-10-22,11.4,11.54,11.4,11.52,833703,957661635.9
2025-10-23,11.52,11.71,11.5,11.63,1373112,1593155218.0
2025-10-24,11.6,11.68,11.55,11.56,980475,1138026681.09
2025-10-27,11.54,11.61,11.44,11.52,1239485,1428199707.19
2025-10-28,11.53,11.58,11.42,11.47,821568,943626835.3
2025-10-29,11.46,11.46,11.36,11.39,966214,1100783363.08
2025-10-30,11.38,11.47,11.36,11.38,943770,1077182643.3
2025-10-31,11.38,11.4,11.3,11.32,970193,1099179193.25
2025-11-03,11.34,11.44,11.3,11.43,952326,1084422503.85
2025-11-04,11.42,11.64,11.4,11.59,1503007,1737289513.56
2025-11-05,11.59,11.6,11.5,11.52,794926,918112474.29
2025-11-06,11.5,11.58,11.47,11.51,766585,882799461.59
2025-11-07,11.52,11.58,11.5,11.55,734851,848177983.52
2025-11-10,11.52,11.64,11.45,11.63,827208,957555600.77
2025-11-11,11.62,11.69,11.57,11.67,886509,1033284775.65
2025-11-12,11.7,11.79,11.65,11.68,1141325,1337963805.19
2025-11-13,11.68,11.72,11.57,11.7,978991,1139765204.11
2025-11-14,11.67,11.84,11.66,11.75,1316995,1551867288.21
2025-11-17,11.75,11.75,11.62,11.67,995233,1161416221.76
2025-11-18,11.65,11.69,11.57,11.59,670077,778887577.92
2025-11-19,11.58,11.83,11.57,11.8,1334996,1565428546.57
2025-11-20,11.79,11.99,11.74,11.85,1637040,1948415939.65
2025-11-21,11.8,11.88,11.66,11.69,1465359,1721871193.26
2025-11-24,11.7,11.73,11.6,11.6,1117119,1302444629.51
2025-11-25,11.61,11.8,11.58,11.8,1028081,1203879796.74
2025-11-26,11.81,11.85,11.65,11.69,821301,962935429.85
2025-11-27,11.66,11.71,11.58,11.71,1011847,1178308953.13
2025-11-28,11.67,11.68,11.58,11.61,884358,1027933463.87
2025-12-01,11.6,11.7,11.53,11.69,1037323,1205480322.84
