日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-01,000001,6.58,6.58,6.64,6.56,346994,330157968.0,1.22,0.15,0.01,0.21
2017-03-02,000001,6.6,6.52,6.63,6.51,403629,382395888.0,1.82,-0.91,-0.06,0.24
2017-03-03,000001,6.5,6.49,6.52,6.45,342655,321952544.0,1.07,-0.46,-0.03,0.2
2017-03-06,000001,6.49,6.54,6.55,6.48,404511,381212304.0,1.08,0.77,0.05,0.24
2017-03-07,000001,6.53,6.54,6.55,6.49,294673,277747408.0,0.92,0.0,0.0,0.17
2017-03-08,000001,6.52,6.51,6.54,6.49,244438,230425150.0,0.76,-0.46,-0.03,0.14
2017-03-09,000001,6.5,6.47,6.52,6.45,378170,354813680.0,1.08,-0.61,-0.04,0.22
2017-03-10,000001,6.47,6.49,6.5,6.45,390182,366140048.0,0.77,0.31,0.02,0.23
2017-03-13,000001,6.48,6.53,6.54,6.46,545304,513148480.0,1.23,0.62,0.04,0.32
2017-03-14,000001,6.52,6.53,6.55,6.5,404484,381594064.0,0.77,0.0,0.0,0.24
2017-03-15,000001,6.51,6.57,6.57,6.51,546561,515943744.0,0.92,0.61,0.04,0.32
2017-03-16,000001,6.57,6.61,6.62,6.54,635954,603450064.0,1.22,0.61,0.04,0.38
2017-03-17,000001,6.54,6.4,6.55,6.39,1583647,1482736992.0,2.42,-3.18,-0.21,0.94
2017-03-20,000001,6.38,6.34,6.4,6.31,715022,661887008.0,1.41,-0.94,-0.06,0.42
2017-03-21,000001,6.34,6.33,6.35,6.29,554649,511914336.0,0.95,-0.16,-0.01,0.33
2017-03-22,000001,6.29,6.25,6.31,6.23,566124,519331024.0,1.26,-1.26,-0.08,0.33
2017-03-23,000001,6.25,6.29,6.33,6.24,433588,398986560.0,1.44,0.64,0.04,0.26
2017-03-24,000001,6.29,6.28,6.33,6.25,710828,653533824.0,1.27,-0.16,-0.01,0.42
2017-03-27,000001,6.21,6.23,6.28,6.17,985012,900094464.0,1.75,-0.8,-0.05,0.58
2017-03-28,000001,6.25,6.21,6.26,6.19,481373,439405824.0,1.12,-0.32,-0.02,0.28
2017-03-29,000001,6.22,6.2,6.24,6.18,601141,548060688.0,0.97,-0.16,-0.01,0.36
2017-03-30,000001,6.21,6.17,6.21,6.15,687286,623995520.0,0.97,-0.48,-0.03,0.41
2017-03-31,000001,6.17,6.26,6.27,6.17,633121,578579040.0,1.62,1.46,0.09,0.37
2017-04-05,000001,6.25,6.3,6.31,6.24,499150,458567840.0,1.12,0.64,0.04,0.3
2017-04-06,000001,6.29,6.29,6.31,6.26,434391,399118976.0,0.79,-0.16,-0.01,0.26
2017-04-07,000001,6.28,6.29,6.31,6.26,514845,473366400.0,0.79,0.0,0.0,0.3
2017-04-10,000001,6.29,6.27,6.3,6.26,401344,368682032.0,0.64,-0.32,-0.02,0.24
2017-04-11,000001,6.26,6.24,6.28,6.18,612438,560304080.0,1.59,-0.48,-0.03,0.36
2017-04-12,000001,6.25,6.21,6.26,6.19,455337,416101248.0,1.12,-0.48,-0.03,0.27
2017-04-13,000001,6.2,6.21,6.23,6.19,357443,325949856.0,0.64,0.0,0.0,0.21
2017-04-14,000001,6.2,6.17,6.21,6.15,490501,445637456.0,0.97,-0.64,-0.04,0.29
2017-04-17,000001,6.17,6.19,6.2,6.14,531892,483130496.0,0.97,0.32,0.02,0.31
2017-04-18,000001,6.18,6.14,6.19,6.14,335377,304162864.0,0.81,-0.81,-0.05,0.2
2017-04-19,000001,6.12,6.0,6.13,5.99,799669,714963680.0,2.28,-2.28,-0.14,0.47
2017-04-20,000001,5.99,6.01,6.03,5.98,437630,390063536.0,0.83,0.17,0.01,0.26
2017-04-21,000001,6.01,6.06,6.08,5.99,325408,291126080.0,1.5,0.83,0.05,0.19
2017-04-24,000001,6.06,6.02,6.07,5.98,394995,352926400.0,1.49,-0.66,-0.04,0.23
2017-04-25,000001,6.02,6.09,6.1,6.02,377933,339230144.0,1.33,1.16,0.07,0.22
2017-04-26,000001,6.09,6.08,6.1,6.05,382147,343316096.0,0.82,-0.16,-0.01,0.23
2017-04-27,000001,6.06,6.06,6.07,6.0,387393,346186992.0,1.15,-0.33,-0.02,0.23
2017-04-28,000001,6.05,6.08,6.08,6.01,286446,256106698.0,1.16,0.33,0.02,0.17
2017-05-02,000001,6.05,6.03,6.05,5.99,311026,277665888.0,0.99,-0.82,-0.05,0.18
2017-05-03,000001,6.01,6.0,6.02,5.98,280311,249660877.0,0.66,-0.5,-0.03,0.17
2017-05-04,000001,5.98,5.83,5.98,5.81,696517,613783440.0,2.83,-2.83,-0.17,0.41
2017-05-05,000001,5.83,5.72,5.85,5.67,623701,539541744.0,3.09,-1.89,-0.11,0.37
2017-05-08,000001,5.69,5.66,5.71,5.63,460090,394424112.0,1.4,-1.05,-0.06,0.27
2017-05-09,000001,5.65,5.73,5.73,5.64,324194,279119680.0,1.59,1.24,0.07,0.19
2017-05-10,000001,5.72,5.76,5.89,5.71,573078,498675312.0,3.14,0.52,0.03,0.34
2017-05-11,000001,5.74,5.79,5.81,5.69,503644,436444288.0,2.08,0.52,0.03,0.3
